subject,model,test_condition,window_s,n_windows,n_correct,accuracy,auc
10,eeg_ts,MovingTargetNoise,60,16,6,0.375,0.21875
10,eeg_ts,MovingVideo,1,1192,556,0.4664429530201342,0.45861109859916216
10,eeg_ts,MovingVideo,2,596,283,0.4748322147651007,0.4557227151930093
10,eeg_ts,MovingVideo,5,236,110,0.4661016949152542,0.43823613904050557
10,eeg_ts,MovingVideo,10,116,51,0.4396551724137931,0.4161712247324614
10,eeg_ts,MovingVideo,30,36,15,0.4166666666666667,0.4012345679012346
10,eeg_ts,MovingVideo,60,16,7,0.4375,0.4375
10,eeg_ts,NoVisuals,1,1192,469,0.3934563758389262,0.3547250123868294
10,eeg_ts,NoVisuals,2,596,228,0.3825503355704698,0.32289086077203727
10,eeg_ts,NoVisuals,5,236,79,0.3347457627118644,0.28253375466819874
10,eeg_ts,NoVisuals,10,116,29,0.25,0.20749108204518432
10,eeg_ts,NoVisuals,30,36,7,0.19444444444444445,0.08024691358024691
10,eeg_ts,NoVisuals,60,16,2,0.125,0.0625
10,eog_ts,FixedVideo,1,1192,507,0.42533557046979864,0.43058871222017026
10,eog_ts,FixedVideo,2,596,264,0.4429530201342282,0.4728615828115851
10,eog_ts,FixedVideo,5,236,110,0.4661016949152542,0.5178109738580867
10,eog_ts,FixedVideo,10,116,53,0.45689655172413796,0.5267538644470868
10,eog_ts,FixedVideo,30,36,16,0.4444444444444444,0.5185185185185186
10,eog_ts,FixedVideo,60,16,7,0.4375,0.375
10,eog_ts,MovingTargetNoise,1,1192,537,0.45050335570469796,0.40212715643439484
10,eog_ts,MovingTargetNoise,2,596,273,0.45805369127516776,0.4012431872438179
10,eog_ts,MovingTargetNoise,5,236,93,0.3940677966101695,0.3822177535191037
10,eog_ts,MovingTargetNoise,10,116,41,0.35344827586206895,0.35315101070154575
10,eog_ts,MovingTargetNoise,30,36,10,0.2777777777777778,0.25308641975308643
10,eog_ts,MovingTargetNoise,60,16,5,0.3125,0.3125
10,eog_ts,MovingVideo,1,1192,472,0.3959731543624161,0.3364262871041845
10,eog_ts,MovingVideo,2,596,252,0.4228187919463087,0.37354173235439847
10,eog_ts,MovingVideo,5,236,101,0.4279661016949153,0.39370870439528866
10,eog_ts,MovingVideo,10,116,47,0.4051724137931034,0.38228299643281805
10,eog_ts,MovingVideo,30,36,10,0.2777777777777778,0.3888888888888889
10,eog_ts,MovingVideo,60,16,4,0.25,0.375
10,eog_ts,NoVisuals,1,1192,541,0.4538590604026846,0.4137144723210666
10,eog_ts,NoVisuals,2,596,267,0.44798657718120805,0.40784198909959013
10,eog_ts,NoVisuals,5,236,96,0.4067796610169492,0.39097960356219474
10,eog_ts,NoVisuals,10,116,46,0.39655172413793105,0.3799048751486326
10,eog_ts,NoVisuals,30,36,15,0.4166666666666667,0.2901234567901234
10,eog_ts,NoVisuals,60,16,8,0.5,0.25
10,gazectrl_csp,FixedVideo,1,1192,527,0.44211409395973156,0.4133147155533534
10,gazectrl_csp,FixedVideo,2,596,236,0.3959731543624161,0.3697355974956083
10,gazectrl_csp,FixedVideo,5,236,89,0.3771186440677966,0.3460212582591209
10,gazectrl_csp,FixedVideo,10,116,42,0.3620689655172414,0.2853745541022592
10,gazectrl_csp,FixedVideo,30,36,10,0.2777777777777778,0.2037037037037037
10,gazectrl_csp,FixedVideo,60,16,4,0.25,0.1875
10,gazectrl_csp,MovingTargetNoise,1,1192,572,0.4798657718120805,0.4855806044772758
10,gazectrl_csp,MovingTargetNoise,2,596,300,0.5033557046979866,0.4730642763839467
10,gazectrl_csp,MovingTargetNoise,5,236,112,0.4745762711864407,0.47026716460787127
10,gazectrl_csp,MovingTargetNoise,10,116,58,0.5,0.4488703923900119
10,gazectrl_csp,MovingTargetNoise,30,36,19,0.5277777777777778,0.46296296296296297
10,gazectrl_csp,MovingTargetNoise,60,16,9,0.5625,0.46875
10,gazectrl_csp,MovingVideo,1,1192,566,0.4748322147651007,0.45995675870456293
10,gazectrl_csp,MovingVideo,2,596,294,0.49328859060402686,0.4584478176658709
10,gazectrl_csp,MovingVideo,5,236,119,0.5042372881355932,0.4752944556162022
10,gazectrl_csp,MovingVideo,10,116,47,0.4051724137931034,0.4304399524375743
10,gazectrl_csp,MovingVideo,30,36,14,0.3888888888888889,0.41358024691358025
10,gazectrl_csp,MovingVideo,60,16,8,0.5,0.4375
10,gazectrl_csp,NoVisuals,1,1192,531,0.44546979865771813,0.43067316787532095
10,gazectrl_csp,NoVisuals,2,596,272,0.4563758389261745,0.4259943245799739
10,gazectrl_csp,NoVisuals,5,236,105,0.4449152542372881,0.43565067509336397
10,gazectrl_csp,NoVisuals,10,116,53,0.45689655172413796,0.39892984542211657
10,gazectrl_csp,NoVisuals,30,36,17,0.4722222222222222,0.33333333333333337
10,gazectrl_csp,NoVisuals,60,16,8,0.5,0.125
10,gazectrl_ts,FixedVideo,1,1192,555,0.46560402684563756,0.45417436151524704
10,gazectrl_ts,FixedVideo,2,596,279,0.46812080536912754,0.453155263276429
10,gazectrl_ts,FixedVideo,5,236,110,0.4661016949152542,0.4567652973283539
10,gazectrl_ts,FixedVideo,10,116,57,0.49137931034482757,0.43162901307966706
10,gazectrl_ts,FixedVideo,30,36,19,0.5277777777777778,0.38271604938271603
10,gazectrl_ts,FixedVideo,60,16,7,0.4375,0.5
10,gazectrl_ts,MovingTargetNoise,1,1192,573,0.48070469798657717,0.4791113012927345
10,gazectrl_ts,MovingTargetNoise,2,596,294,0.49328859060402686,0.49873879554975
10,gazectrl_ts,MovingTargetNoise,5,236,111,0.4703389830508475,0.4704108014938236
10,gazectrl_ts,MovingTargetNoise,10,116,56,0.4827586206896552,0.4524375743162901
10,gazectrl_ts,MovingTargetNoise,30,36,15,0.4166666666666667,0.4382716049382716
10,gazectrl_ts,MovingTargetNoise,60,16,6,0.375,0.40625
10,gazectrl_ts,MovingVideo,1,1192,583,0.4890939597315436,0.48628440160353137
10,gazectrl_ts,MovingVideo,2,596,298,0.5,0.5195261474708346
10,gazectrl_ts,MovingVideo,5,236,110,0.4661016949152542,0.4745762711864407
10,gazectrl_ts,MovingVideo,10,116,55,0.47413793103448276,0.44768133174791913
10,gazectrl_ts,MovingVideo,30,36,17,0.4722222222222222,0.5061728395061729
10,gazectrl_ts,MovingVideo,60,16,8,0.5,0.59375
10,gazectrl_ts,NoVisuals,1,1192,595,0.49916107382550334,0.5007882527814063
10,gazectrl_ts,NoVisuals,2,596,318,0.5335570469798657,0.5324985361019774
10,gazectrl_ts,NoVisuals,5,236,132,0.559322033898305,0.5640620511347314
10,gazectrl_ts,NoVisuals,10,116,70,0.603448275862069,0.5969084423305588
10,gazectrl_ts,NoVisuals,30,36,22,0.6111111111111112,0.6296296296296297
10,gazectrl_ts,NoVisuals,60,16,10,0.625,0.625
11,eeg_alpha_ts,FixedVideo,1,1192,530,0.4446308724832215,0.41457028962659337
11,eeg_alpha_ts,FixedVideo,2,596,262,0.4395973154362416,0.3978424395297509
11,eeg_alpha_ts,FixedVideo,5,236,90,0.3813559322033898,0.32950301637460494
11,eeg_alpha_ts,FixedVideo,10,116,35,0.3017241379310345,0.2853745541022592
11,eeg_alpha_ts,FixedVideo,30,36,9,0.25,0.19135802469135804
11,eeg_alpha_ts,FixedVideo,60,16,4,0.25,0.09375
11,eeg_alpha_ts,MovingTargetNoise,1,1192,512,0.42953020134228187,0.40384442142245847
11,eeg_alpha_ts,MovingTargetNoise,2,596,247,0.41442953020134227,0.38338363136795633
11,eeg_alpha_ts,MovingTargetNoise,5,236,90,0.3813559322033898,0.3221775351910371
