subject,trial,condition,eog_regression,window_s,n_windows,n_correct,ridge_alpha
09,6,NoVisuals,False,2,299,213,0.01
09,6,NoVisuals,False,5,119,92,0.01
09,6,NoVisuals,False,10,59,56,0.01
09,6,NoVisuals,False,30,19,18,0.01
09,6,NoVisuals,False,60,9,8,0.01
09,7,FixedVideo,False,1,599,371,0.01
09,7,FixedVideo,False,2,299,189,0.01
09,7,FixedVideo,False,5,119,83,0.01
09,7,FixedVideo,False,10,59,45,0.01
09,7,FixedVideo,False,30,19,17,0.01
09,7,FixedVideo,False,60,9,8,0.01
09,0,MovingVideo,True,1,599,351,0.1
09,0,MovingVideo,True,2,299,196,0.1
09,0,MovingVideo,True,5,119,92,0.1
09,0,MovingVideo,True,10,59,50,0.1
09,0,MovingVideo,True,30,19,18,0.1
09,0,MovingVideo,True,60,9,9,0.1
09,1,MovingTargetNoise,True,1,599,349,0.1
09,1,MovingTargetNoise,True,2,299,171,0.1
09,1,MovingTargetNoise,True,5,119,79,0.1
09,1,MovingTargetNoise,True,10,59,46,0.1
09,1,MovingTargetNoise,True,30,19,17,0.1
09,1,MovingTargetNoise,True,60,9,9,0.1
09,2,NoVisuals,True,1,599,341,0.1
09,2,NoVisuals,True,2,299,181,0.1
09,2,NoVisuals,True,5,119,76,0.1
09,2,NoVisuals,True,10,59,38,0.1
09,2,NoVisuals,True,30,19,16,0.1
09,2,NoVisuals,True,60,9,8,0.1
09,3,FixedVideo,True,1,599,386,0.1
09,3,FixedVideo,True,2,299,207,0.1
09,3,FixedVideo,True,5,119,95,0.1
09,3,FixedVideo,True,10,59,46,0.1
09,3,FixedVideo,True,30,19,18,0.1
09,3,FixedVideo,True,60,9,9,0.1
09,4,MovingTargetNoise,True,1,599,370,0.1
09,4,MovingTargetNoise,True,2,299,185,0.1
09,4,MovingTargetNoise,True,5,119,83,0.1
09,4,MovingTargetNoise,True,10,59,41,0.1
09,4,MovingTargetNoise,True,30,19,17,0.1
09,4,MovingTargetNoise,True,60,9,8,0.1
09,5,MovingVideo,True,1,599,367,0.1
09,5,MovingVideo,True,2,299,197,0.1
09,5,MovingVideo,True,5,119,84,0.1
09,5,MovingVideo,True,10,59,40,0.1
09,5,MovingVideo,True,30,19,15,0.1
09,5,MovingVideo,True,60,9,8,0.1
09,6,NoVisuals,True,1,599,392,0.01
09,6,NoVisuals,True,2,299,213,0.01
09,6,NoVisuals,True,5,119,97,0.01
09,6,NoVisuals,True,10,59,53,0.01
09,6,NoVisuals,True,30,19,18,0.01
09,6,NoVisuals,True,60,9,9,0.01
09,7,FixedVideo,True,1,599,366,0.1
09,7,FixedVideo,True,2,299,196,0.1
09,7,FixedVideo,True,5,119,92,0.1
09,7,FixedVideo,True,10,59,50,0.1
09,7,FixedVideo,True,30,19,17,0.1
09,7,FixedVideo,True,60,9,9,0.1
10,0,MovingVideo,False,1,599,337,0.001
10,0,MovingVideo,False,2,299,176,0.001
10,0,MovingVideo,False,5,119,75,0.001
10,0,MovingVideo,False,10,59,43,0.001
10,0,MovingVideo,False,30,19,15,0.001
10,0,MovingVideo,False,60,9,9,0.001
10,1,MovingTargetNoise,False,1,599,304,0.001
10,1,MovingTargetNoise,False,2,299,148,0.001
10,1,MovingTargetNoise,False,5,119,59,0.001
10,1,MovingTargetNoise,False,10,59,34,0.001
10,1,MovingTargetNoise,False,30,19,13,0.001
10,1,MovingTargetNoise,False,60,9,5,0.001
10,2,NoVisuals,False,1,599,352,0.01
10,2,NoVisuals,False,2,299,186,0.01
10,2,NoVisuals,False,5,119,80,0.01
10,2,NoVisuals,False,10,59,42,0.01
10,2,NoVisuals,False,30,19,17,0.01
10,2,NoVisuals,False,60,9,9,0.01
10,3,MovingTargetNoise,False,1,599,332,0.001
10,3,MovingTargetNoise,False,2,299,172,0.001
10,3,MovingTargetNoise,False,5,119,77,0.001
10,3,MovingTargetNoise,False,10,59,39,0.001
10,3,MovingTargetNoise,False,30,19,13,0.001
10,3,MovingTargetNoise,False,60,9,8,0.001
10,4,FixedVideo,False,1,599,351,0.01
10,4,FixedVideo,False,2,299,172,0.01
10,4,FixedVideo,False,5,119,70,0.01
10,4,FixedVideo,False,10,59,39,0.01
10,4,FixedVideo,False,30,19,16,0.01
10,4,FixedVideo,False,60,9,8,0.01
10,5,MovingVideo,False,1,599,348,0.001
10,5,MovingVideo,False,2,299,174,0.001
10,5,MovingVideo,False,5,119,76,0.001
10,5,MovingVideo,False,10,59,38,0.001
10,5,MovingVideo,False,30,19,15,0.001
10,5,MovingVideo,False,60,9,8,0.001
10,6,NoVisuals,False,1,599,349,0.01
10,6,NoVisuals,False,2,299,196,0.01
10,6,NoVisuals,False,5,119,80,0.01
10,6,NoVisuals,False,10,59,45,0.01
10,6,NoVisuals,False,30,19,18,0.01
10,6,NoVisuals,False,60,9,9,0.01
10,7,FixedVideo,False,1,599,352,0.01
10,7,FixedVideo,False,2,299,191,0.01
10,7,FixedVideo,False,5,119,83,0.01
10,7,FixedVideo,False,10,59,47,0.01
10,7,FixedVideo,False,30,19,18,0.01
10,7,FixedVideo,False,60,9,9,0.01
10,0,MovingVideo,True,1,599,332,0.01
10,0,MovingVideo,True,2,299,172,0.01
10,0,MovingVideo,True,5,119,72,0.01
10,0,MovingVideo,True,10,59,42,0.01
10,0,MovingVideo,True,30,19,16,0.01
10,0,MovingVideo,True,60,9,9,0.01
10,1,MovingTargetNoise,True,1,599,297,0.01
10,1,MovingTargetNoise,True,2,299,149,0.01
10,1,MovingTargetNoise,True,5,119,61,0.01
10,1,MovingTargetNoise,True,10,59,33,0.01
