subject,model,analysis,condition,accuracy
12,eog_ts,leaky_random_cv,MovingVideo,0.5423728813559322
12,eog_ts,leaky_random_cv,NoVisuals,0.6228813559322034
12,eog_ts,time_decoding_loto,FixedVideo,0.6864406779661016
12,eog_ts,time_decoding_loto,MovingTargetNoise,0.6440677966101694
12,eog_ts,time_decoding_loto,MovingVideo,0.8050847457627118
12,eog_ts,time_decoding_loto,NoVisuals,0.690677966101695
12,eog_ts,side_decoding_loto,FixedVideo,0.4872881355932203
12,eog_ts,side_decoding_loto,MovingTargetNoise,0.5211864406779662
12,eog_ts,side_decoding_loto,MovingVideo,0.3940677966101695
12,eog_ts,side_decoding_loto,NoVisuals,0.4788135593220339
12,eeg_csp,leaky_random_cv,FixedVideo,0.5550847457627118
12,eeg_csp,leaky_random_cv,MovingTargetNoise,0.6779661016949152
12,eeg_csp,leaky_random_cv,MovingVideo,0.5127118644067796
12,eeg_csp,leaky_random_cv,NoVisuals,0.690677966101695
12,eeg_csp,time_decoding_loto,FixedVideo,0.7033898305084746
12,eeg_csp,time_decoding_loto,MovingTargetNoise,0.8771186440677966
12,eeg_csp,time_decoding_loto,MovingVideo,0.8728813559322034
12,eeg_csp,time_decoding_loto,NoVisuals,0.8686440677966102
12,eeg_csp,side_decoding_loto,FixedVideo,0.5635593220338984
12,eeg_csp,side_decoding_loto,MovingTargetNoise,0.3389830508474576
12,eeg_csp,side_decoding_loto,MovingVideo,0.3686440677966102
12,eeg_csp,side_decoding_loto,NoVisuals,0.3516949152542373
12,eeg_ts,leaky_random_cv,FixedVideo,0.5720338983050848
12,eeg_ts,leaky_random_cv,MovingTargetNoise,0.6271186440677966
12,eeg_ts,leaky_random_cv,MovingVideo,0.6610169491525424
12,eeg_ts,leaky_random_cv,NoVisuals,0.6483050847457628
12,eeg_ts,time_decoding_loto,FixedVideo,0.7161016949152542
12,eeg_ts,time_decoding_loto,MovingTargetNoise,0.8305084745762712
12,eeg_ts,time_decoding_loto,MovingVideo,0.902542372881356
12,eeg_ts,time_decoding_loto,NoVisuals,0.7966101694915254
12,eeg_ts,side_decoding_loto,FixedVideo,0.4322033898305085
12,eeg_ts,side_decoding_loto,MovingTargetNoise,0.4194915254237288
12,eeg_ts,side_decoding_loto,MovingVideo,0.2669491525423729
12,eeg_ts,side_decoding_loto,NoVisuals,0.4364406779661017
12,gazectrl_ts,leaky_random_cv,FixedVideo,0.4745762711864407
12,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.6101694915254238
12,gazectrl_ts,leaky_random_cv,MovingVideo,0.6483050847457628
12,gazectrl_ts,leaky_random_cv,NoVisuals,0.5847457627118644
12,gazectrl_ts,time_decoding_loto,FixedVideo,0.4788135593220339
